Empresa;Família;Modelo;OPC;Chassi;Placa;Veículo;Estado Placa;Ano;Cor;NF Número;Valor Compra;Custo Operacional;Preço Público/Venda;Custo Valor Compra;NF Compra;Empresa Compra;Valor Agregado;KM;Opcionais;Data Chegada;Dias Estoque;Data Emissão;Situação;Valor Escrito;Valor Escrito2;Valor Escrito3;Combustível;Avaliação Usado;Em Trânsito;Pago;Data Pagamento;Estoque;Flag Proposta;Flag Pedido;Flag Bloqueio;Flag Reserva;NTI Valor;Tipo Faturamento;Valores Agregados;Pis/Fin;ICMS Valor Venda;Valor HoldBack;Nr. Renavam;Promoção;Custo Venda;Localização;Floor;Tipo Transmissão
PEDRAGON MANAUS;NV SILVERADO;NX SILVERADO HC PEC;PEC;3GCUK9ED4SG291354;        ;43124;;2025/2025;*PRETO GLOBAL (GBA) MET;         153284;345297,32;0,00;389990,00;345297,32;      785;PEDRAGON MANAUS;10358,92;1;(693) UE1, (736) PEC;30/01/2026;264;15/10/2025 00:00;;FECHADO;"CHASSI NAO CONTEMPLA BONUS, CANCELAMENTO POSTERIOR AO DIA 15 DO MES SUBSEQUENTE""  - JURÍDICO   ";201585;GASOLINA;0,00;;Sim;24/02/2026;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;201585;0,00;355656,24;PEDRAGON MANAUS FLORES;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRAILBLAZER;NW TRAILBLAZER HC R6A;R6A;9BG156PK0VC407477;        ;109256;;2026/2027;PRATA SHARK;        1487042;339291,61;0,00;424640,00;335144,71;   150769;PEDRAGON MANAUS;10178,75;1;(690) PDB, (693) UE1, (707) R6A;  /  /     ;39;28/05/2026 00:00;;;PEDRAGON MANAUS;201783;DIESEL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;FLOOR PLAN - GM;HOLD BACK (GM);0,00;0,00;0,00;201783;0,00;345323,46;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRAILBLAZER;NW TRAILBLAZER HC R6A;R6A;9BG156PK0VC412054;;111651;;2026/2027;PRETO OURO NEGRO;        1489978;339291,61;0,00;424640,00;335144,71;   172909;PEDRAGON MANAUS;10178,75;1;(690) PDB, (693) UE1, (707) R6A;  /  /     ;10;26/06/2026 00:00;;;PEDRAGON MANAUS;201783     ;DIESEL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;201783     ;0,00;345323,46;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRAILBLAZER;NW TRAILBLAZER HC R6A;R6A;9BG156PK0VC412519;;111832;;2026/2027;CINZA TOPAZIO;        1490023;337653,90;0,00;422590,00;333527,02;   174165;PEDRAGON MANAUS;10129,62;1;(693) UE1, (707) R6A;  /  /     ;7;29/06/2026 00:00;;;PEDRAGON MANAUS;201783     ;DIESEL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;FLOOR PLAN - GM;HOLD BACK (GM);0,00;0,00;0,00;201783     ;0,00;343656,64;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.2 PREM R8I;R8I;9BGEY76T0VB112522;        ;109609;;2026/2027;VERMELHO SCARLET;        3042051;143085,60;0,00;181840,00;143085,60;   154773;PEDRAGON MANAUS;4292,57;1;(690) PDB, (693) UE1, (712) R8I;  /  /     ;34;02/06/2026 00:00;;;PEDRAGON MANAUS;149037;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149037;0,00;147378,17;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.2 PREM R8I;R8I;9BGEY76T0VB112492;        ;108966;;2026/2027;VERMELHO SCARLET;        3038982;143085,60;0,00;181840,00;143085,60;   148590;PEDRAGON MANAUS;4292,57;1;(690) PDB, (693) UE1, (712) R8I;  /  /     ;41;26/05/2026 00:00;;IZABELLY VENDIDO;PEDRAGON MANAUS;149037;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149037;0,00;147378,17;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.2 PREM R8I;R8I;9BGEY76T0VB110387;        ;108526;;2026/2027;CINZA AMBAR;        3037502;143085,60;0,00;181840,00;143085,60;   145141;PEDRAGON MANAUS;4292,57;1;(690) PDB, (693) UE1, (712) R8I;  /  /     ;46;21/05/2026 00:00;;;PEDRAGON MANAUS;149037;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149037;0,00;147378,17;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.2 PREM R8I;R8I;9BGEY76T0VB110396;        ;108527;;2026/2027;CINZA AMBAR;        3037503;143085,60;0,00;181840,00;143085,60;   145142;PEDRAGON MANAUS;4292,57;1;(690) PDB, (693) UE1, (712) R8I;  /  /     ;46;21/05/2026 00:00;;;PEDRAGON MANAUS;149037;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149037;0,00;147378,17;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.2 PREM R8I;R8I;9BGEY76T0VB110006;        ;108618;;2026/2027;CINZA AMBAR;        3037798;143085,60;0,00;181840,00;143085,60;   145999;PEDRAGON MANAUS;4292,57;1;(690) PDB, (693) UE1, (712) R8I;  /  /     ;45;22/05/2026 00:00;;;PEDRAGON MANAUS;149037;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;CAPLAN GM;HOLD BACK (GM);0,00;0,00;0,00;149037;0,00;147378,17;PEDRAGON MANAUS;0,00;AUTOMÁTICO
PEDRAGON MANAUS;NW TRACKER;NW TRACKER 1.0 LT R8D;R8D;8AGEB76D0VR101457;;111521;;2026/2027;AZUL BOREAL;        4797738;115553,69;0,00;146690,00;114141,37;   171525;PEDRAGON MANAUS;3466,61;1;(693) UE1, (697) R8D, (698) R9S;  /  /     ;11;25/06/2026 00:00;;;PEDRAGON MANAUS;100197     ;ALCO/GASOL;0,00;Sim;;  /  /     ;VN - VEICULOS  NOVOS;Não;Não;Não;Não;0,00;FLOOR PLAN - GM;HOLD BACK (GM);0,00;0,00;0,00;100197     ;0,00;117607,98;PEDRAGON MANAUS;0,00;AUTOMÁTICO
